ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
BigMario,BLOCK,R,VelChange,BigMario,None,vx
BLOCK,BigMario,L,VelChange,BigMario,None,vx
BigMario,BLOCK,D,VelChange,BigMario,None,vy
BLOCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Delete,16,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Delete,16,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,None,None,None,None
GROUND,BigMario,U,None,None,None,None
BigMario,BLOCK,U,Delete,16,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Delete,16,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Delete,16,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Delete,16,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vx
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vx
Bush,FireMario,D,None,None,None,None
FireMario,Bush,U,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vy
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,R,None,None,None,None
TUBE_TOP_LEFT,BigMario,L,None,None,None,None
RedKoopa,RedKoopa,D,None,None,None,None
RedKoopa,RedKoopa,U,None,None,None,None
BigMario,TUBE_TOP_LEFT,D,None,None,None,None
TUBE_TOP_LEFT,BigMario,U,None,None,None,None
GreenKoopa,RIGHT_UP_GRASS_EDGE,L,VelChange,GreenKoopa,None,vx
RIGHT_UP_GRASS_EDGE,GreenKoopa,R,VelChange,GreenKoopa,None,vx
BigMario,TUBE_TOP_LEFT,D,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,U,VelChange,BigMario,None,vy
GreenKoopa,LEFT_GRASS_EDGE,R,VelChange,GreenKoopa,None,vx
LEFT_GRASS_EDGE,GreenKoopa,L,VelChange,GreenKoopa,None,vx
GreenKoopa,LEFT_UP_GRASS_EDGE,R,VelChange,GreenKoopa,None,vx
LEFT_UP_GRASS_EDGE,GreenKoopa,L,VelChange,GreenKoopa,None,vx
BigMario,TUBE_TOP_RIGHT,D,VelChange,GreenKoopa,None,vx
TUBE_TOP_RIGHT,BigMario,U,VelChange,GreenKoopa,None,vx
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,D,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_RIGHT,D,None,None,None,None
TUBE_TOP_RIGHT,BigMario,U,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Delete,16,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Delete,16,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,COIN,U,Delete,Coin,None,None
COIN,BigMario,D,Delete,Coin,None,None
BigMario,COIN,U,Delete,Coin,None,None
COIN,BigMario,D,Delete,Coin,None,None
BigMario,COIN,R,Delete,Coin,None,None
COIN,BigMario,L,Delete,Coin,None,None
BigMario,COIN,R,Delete,Coin,None,None
COIN,BigMario,L,Delete,Coin,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
Goomba,ROCK,D,VelChange,Goomba,None,vy
ROCK,Goomba,U,VelChange,Goomba,None,vy
Goomba,LEFT_UP_GRASS_EDGE,D,VelChange,Goomba,None,vy
LEFT_UP_GRASS_EDGE,Goomba,U,VelChange,Goomba,None,vy
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
Goomba,LEFT_UP_GRASS_EDGE,D,VelChange,Goomba,None,vy
LEFT_UP_GRASS_EDGE,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,BigMario,L,Change,BigMario,Mario,None
BigMario,Goomba,R,Change,BigMario,Mario,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,Delete,Goomba,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,R,VelChange,Mario,None,vx
Mario,ROCK,R,VelChange,Mario,None,vy
ROCK,Mario,L,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vy
Mario,ROCK,R,None,None,None,None
ROCK,Mario,L,None,None,None,None
Goomba,ROCK,D,VelChange,Goomba,None,vy
ROCK,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Goomba,RIGHT_UP_GRASS_EDGE,D,VelChange,Goomba,None,vy
RIGHT_UP_GRASS_EDGE,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,None,None,None,None
GROUND,Goomba,U,None,None,None,None
Mario,ROCK,R,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,R,None,None,None,None
ROCK,Mario,L,None,None,None,None
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Bush,GreenKoopa,L,None,None,None,None
GreenKoopa,Bush,R,None,None,None,None
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,Delete,Goomba,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
GreenKoopa,ROCK,D,VelChange,GreenKoopa,None,vy
ROCK,GreenKoopa,U,VelChange,GreenKoopa,None,vy
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
Bush,BigMario,R,None,None,None,None
BigMario,Bush,L,None,None,None,None
Mario,ROCK,R,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vx
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,R,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,L,VelChange,GreenKoopa,None,vx
Mario,ROCK,R,None,None,None,None
ROCK,Mario,L,None,None,None,None
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
GreenKoopa,ROCK,R,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,L,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
Mario,BLOCK,D,VelChange,Mario,None,vy
BLOCK,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vx
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,R,VelChange,Mario,None,vx
Mario,ROCK,R,VelChange,Mario,None,vy
ROCK,Mario,L,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vy
Mario,ROCK,R,None,None,None,None
ROCK,Mario,L,None,None,None,None
GreenKoopa,Mario,D,Delete,Mario,None,None
Mario,GreenKoopa,U,Delete,Mario,None,None
Goomba,ROCK,D,VelChange,Goomba,None,vy
ROCK,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Goomba,RIGHT_UP_GRASS_EDGE,D,VelChange,Goomba,None,vy
RIGHT_UP_GRASS_EDGE,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Mario,None,vy
GROUND,Goomba,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,R,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vx
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vx
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
GreenKoopa,ROCK,D,VelChange,GreenKoopa,None,vy
ROCK,GreenKoopa,U,VelChange,GreenKoopa,None,vy
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,ROCK,L,VelChange,Goomba,None,vx
ROCK,Goomba,R,VelChange,Goomba,None,vx
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
Mario,ROCK,R,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vx
Mario,ROCK,R,None,None,None,None
ROCK,Mario,L,None,None,None,None
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,R,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,R,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,L,VelChange,GreenKoopa,None,vx
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,D,VelChange,Mario,None,vy
BLOCK,Mario,U,VelChange,Mario,None,vy
GreenKoopa,ROCK,R,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,R,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,L,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
GreenKoopa,ROCK,L,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
ROCK,GreenKoopa,R,VelChange,GreenKoopa,None,vx
Mario,GreenKoopa,D,VelChange,Mario,None,vy
Mario,GreenKoopa,D,Delete,GreenKoopa,None,None
GreenKoopa,Mario,U,VelChange,Mario,None,vy
GreenKoopa,Mario,U,Delete,GreenKoopa,None,None
Shell,7,D,None,None,None,None
7,Shell,U,None,None,None,None
Shell,GROUND,D,None,None,None,None
GROUND,Shell,U,None,None,None,None
Mario,ROCK,R,VelChange,Mario,None,vx
ROCK,Mario,L,VelChange,Mario,None,vx
Mario,GROUND,D,None,None,None,None
GROUND,Mario,U,None,None,None,None
GreenKoopa,Mario,R,Delete,Mario,None,None
Mario,GreenKoopa,L,Delete,Mario,None,None
Bush,GreenKoopa,L,None,None,None,None
GreenKoopa,Bush,R,None,None,None,None
