ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
BigMario,GROUND,D,VelChange,BigMario,None,vx
GROUND,BigMario,U,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vx
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vx
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vy
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vx
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,D,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,U,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,BigMario,U,None,None,None,None
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
BigMario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None
RIGHT_UP_GRASS_EDGE,BigMario,U,None,None,None,None
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,BigMario,U,None,None,None,None
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
Bush,RedKoopa,U,None,None,None,None
RedKoopa,Bush,D,None,None,None,None
BigMario,ROCK,D,VelChange,BigMario,None,vy
ROCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
Bush,BigMario,R,None,None,None,None
BigMario,Bush,L,None,None,None,None
